-2999.999 -2999.999 -2999.992 -2999.963 -2999.884 -2999.736 -2999.524 -2999.272 -2999.000 -2998.719 -2998.434 -2984.783 -2943.451 -2892.905 -2840.298 -2796.519 -2752.791 -2709.116 -2667.737 -2647.526 -2627.350 -2569.822 -2505.877 -2442.012 -2324.434 -2160.814 -1997.333 -1833.492 -1668.942 -1504.566 -1399.275 -1297.814 -1196.603 -1095.614 -968.744 -837.138 -707.071 -577.313 -447.908 -318.911 -210.014 -198.697 -200.635 -202.599 -204.570 -207.571 -210.785 -208.363 -204.847 -201.371 -197.938 -194.554 -191.221 -187.747 -184.136 -182.534 -180.964 -179.424 -177.916 -176.438 -175.741 -175.855 -175.966 -175.624 -174.863 -174.117 -173.384 -172.665 -172.050 -171.603 -171.164 -170.733 -170.307 -169.688 -168.757 -167.838 -166.932 -166.036 -164.568 -163.107 -161.662 -160.233 -158.818 -157.418 -156.030 -154.468 -152.785 -151.112 -149.074 -146.545 -144.025 -141.511 -139.002 -136.495 -133.989 -131.480 -128.967 -126.449 -122.890 -118.774 -114.407 -110.033 -105.647 -101.250 -96.837 -92.410 -87.974 -83.533 -78.981 -74.389 -69.927 -67.185 -64.557 -61.919 -59.267 -56.593 -53.896 -51.173 -48.424 -45.654 -42.866 -42.513 -42.752 -41.374 -39.587 -37.752 -35.859 -33.889 -31.830 -29.673
-2999.998 -2999.998 -2999.990 -2999.953 -2999.856 -2999.671 -2999.406 -2999.090 -2998.750 -2998.400 -2998.044 -2971.280 -2928.539 -2879.836 -2829.114 -2787.734 -2746.400 -2705.117 -2663.888 -2623.417 -2564.420 -2494.487 -2425.446 -2361.873 -2298.360 -2220.334 -2055.837 -1890.957 -1726.206 -1561.630 -1397.318 -1268.791 -1165.659 -1033.229 -901.047 -769.113 -637.447 -507.780 -378.576 -292.853 -262.077 -231.443 -207.998 -209.943 -211.901 -213.847 -212.460 -209.342 -206.101 -202.538 -199.019 -195.549 -192.132 -189.219 -186.986 -185.404 -183.901 -182.428 -180.985 -179.571 -178.187 -176.840 -175.843 -174.975 -174.122 -173.374 -172.642 -171.922 -171.215 -170.521 -169.917 -169.312 -168.356 -167.414 -166.485 -165.569 -164.664 -163.770 -162.887 -162.013 -160.751 -159.322 -157.909 -156.255 -154.549 -152.856 -151.176 -149.505 -147.843 -146.188 -144.540 -142.067 -139.557 -137.050 -134.543 -132.034 -128.087 -124.089 -120.084 -116.071 -112.051 -108.022 -103.689 -99.292 -94.879 -90.452 -86.016 -81.577 -77.306 -74.804 -72.294 -69.777 -67.254 -64.676 -62.083 -59.468 -56.826 -54.157 -51.461 -48.745 -46.015 -42.312 -38.203 -35.853 -34.067 -32.233 -30.340 -28.366 -26.297 -24.119
-2999.998 -2999.998 -2999.988 -2999.946 -2999.832 -2999.615 -2999.300 -2998.921 -2998.510 -2998.085 -2997.652 -2966.619 -2914.641 -2862.038 -2809.471 -2756.950 -2713.110 -2671.947 -2633.135 -2597.542 -2561.996 -2516.244 -2446.295 -2376.417 -2306.603 -2200.988 -2090.795 -1938.426 -1774.265 -1610.233 -1446.454 -1283.022 -1125.440 -988.422 -851.659 -715.138 -578.886 -442.943 -375.449 -344.441 -313.552 -282.813 -252.271 -221.959 -219.187 -216.423 -213.288 -210.172 -207.082 -204.024 -200.566 -197.090 -194.533 -192.251 -190.012 -187.818 -185.895 -184.419 -182.973 -181.557 -180.213 -178.911 -177.635 -176.383 -175.498 -174.659 -173.836 -173.028 -172.233 -171.359 -170.159 -168.977 -167.841 -166.801 -165.776 -164.764 -163.764 -162.777 -161.800 -160.835 -159.880 -158.627 -157.161 -155.351 -153.558 -151.778 -150.010 -148.253 -146.505 -144.764 -143.029 -141.299 -139.650 -137.201 -133.222 -129.241 -125.253 -121.257 -117.253 -113.240 -109.218 -105.189 -101.151 -97.101 -92.875 -88.446 -84.569 -82.065 -79.565 -77.062 -74.552 -72.031 -69.499 -66.950 -64.382 -61.761 -59.106 -56.430 -53.732 -50.053 -46.035 -41.982 -37.876 -33.695 -29.418 -27.067 -25.190 -23.241 -21.205 -19.076
-2999.998 -2999.998 -2999.988 -2999.942 -2999.816 -2999.571 -2999.209 -2998.766 -2998.281 -2997.773 -2994.149 -2968.050 -2917.948 -2861.898 -2805.903 -2749.972 -2694.111 -2640.853 -2606.835 -2571.617 -2536.129 -2500.683 -2465.271 -2390.842 -2280.655 -2170.561 -2060.542 -1950.557 -1816.693 -1652.541 -1488.492 -1324.807 -1161.657 -998.940 -859.269 -722.839 -586.674 -492.157 -401.232 -327.014 -300.737 -274.596 -248.637 -225.615 -214.934 -208.515 -206.351 -204.188 -202.035 -199.899 -198.440 -199.151 -197.020 -194.927 -192.876 -190.803 -188.648 -186.537 -184.956 -183.596 -182.264 -180.958 -179.679 -178.425 -177.195 -176.016 -175.191 -174.362 -173.121 -171.901 -170.701 -169.519 -168.354 -167.205 -166.089 -165.077 -164.078 -163.090 -162.090 -160.796 -159.516 -158.249 -156.996 -155.755 -154.506 -152.726 -150.959 -149.202 -147.453 -145.712 -143.976 -141.752 -139.110 -136.471 -133.831 -131.074 -126.901 -122.717 -118.522 -114.316 -110.098 -105.871 -101.637 -97.391 -92.994 -88.454 -84.158 -81.857 -79.563 -77.271 -74.973 -72.661 -70.329 -67.976 -65.609 -63.239 -60.865 -57.500 -53.662 -49.686 -45.673 -41.619 -37.513 -33.333 -29.063 -24.697 -20.228 -18.016 -19.722 -19.722
-2999.999 -2999.998 -2999.987 -2999.940 -2999.807 -2999.538 -2999.129 -2998.618 -2998.050 -2997.450 -2984.115 -2958.001 -2931.882 -2892.234 -2836.132 -2779.396 -2704.997 -2630.674 -2558.810 -2524.949 -2491.122 -2457.330 -2426.849 -2400.540 -2317.432 -2199.272 -2081.237 -1963.292 -1845.357 -1652.559 -1500.605 -1348.977 -1197.850 -1039.733 -877.339 -737.456 -645.955 -554.680 -463.667 -372.957 -282.604 -252.569 -233.091 -222.280 -211.627 -201.085 -191.816 -189.684 -187.549 -187.700 -190.659 -193.572 -196.440 -194.383 -192.326 -190.315 -188.349 -186.208 -184.051 -182.071 -180.968 -179.888 -178.830 -177.793 -176.777 -175.781 -175.128 -174.434 -173.244 -172.074 -170.923 -169.790 -168.673 -167.572 -166.486 -165.415 -164.307 -163.019 -161.711 -160.417 -159.137 -157.870 -156.617 -155.376 -154.148 -152.929 -151.718 -150.134 -148.386 -145.905 -143.254 -140.610 -137.970 -135.332 -132.693 -130.050 -127.401 -124.745 -121.032 -116.821 -112.597 -108.362 -103.925 -99.415 -94.893 -90.356 -85.805 -81.244 -76.677 -73.954 -71.642 -69.313 -66.957 -64.582 -62.208 -59.211 -56.212 -53.200 -50.165 -46.775 -42.884 -38.951 -34.966 -30.913 -26.781 -22.564 -24.854 -21.287 -18.430 -18.430
-2999.999 -2999.998 -2999.987 -2999.940 -2999.802 -2999.513 -2999.059 -2998.474 -2997.811 -2997.104 -2972.554 -2946.723 -2920.883 -2895.043 -2861.203 -2784.526 -2710.138 -2635.824 -2561.591 -2487.447 -2443.669 -2415.342 -2389.062 -2362.802 -2336.558 -2281.034 -2162.919 -2036.468 -1818.035 -1599.620 -1381.236 -1218.735 -1067.918 -917.554 -798.153 -722.896 -644.879 -559.536 -474.435 -389.612 -305.120 -253.468 -233.051 -221.549 -210.242 -199.080 -188.001 -177.054 -177.059 -180.052 -182.998 -185.899 -188.756 -191.571 -191.778 -189.700 -187.453 -185.253 -183.097 -180.986 -178.917 -177.344 -176.286 -175.251 -174.448 -173.862 -173.288 -172.725 -172.171 -171.446 -170.296 -169.163 -168.047 -166.947 -165.804 -164.256 -162.728 -161.218 -159.726 -158.468 -157.256 -156.057 -154.872 -153.698 -152.536 -151.384 -150.252 -149.420 -148.592 -147.094 -144.283 -141.478 -138.678 -135.879 -133.078 -130.272 -127.460 -124.640 -121.810 -118.966 -115.135 -110.537 -105.931 -101.318 -96.783 -92.248 -87.694 -83.123 -78.538 -73.940 -69.324 -65.964 -63.491 -60.474 -57.471 -54.489 -51.507 -48.504 -45.468 -42.398 -39.297 -35.910 -31.924 -27.874 -30.300 -26.888 -23.317 -19.449 -16.535 -16.535
-2999.997 -2999.993 -2999.981 -2999.932 -2999.790 -2999.484 -2998.985 -2998.324 -2997.559 -2983.420 -2958.669 -2932.775 -2906.867 -2877.591 -2846.634 -2815.694 -2745.502 -2668.365 -2591.322 -2514.463 -2443.223 -2392.131 -2363.542 -2334.987 -2306.460 -2277.962 -2200.172 -1988.117 -1772.138 -1554.381 -1336.584 -1118.915 -939.179 -837.569 -762.087 -686.876 -611.898 -537.042 -452.077 -367.403 -326.803 -290.832 -255.144 -228.030 -216.698 -205.546 -194.515 -186.966 -179.444 -176.536 -179.165 -181.755 -184.306 -186.821 -188.138 -188.559 -186.333 -184.157 -182.025 -179.937 -177.890 -175.885 -174.016 -173.250 -172.632 -172.045 -171.472 -170.910 -170.357 -169.815 -169.281 -168.542 -167.403 -165.814 -164.246 -162.699 -161.172 -159.663 -158.173 -156.699 -155.240 -153.968 -152.783 -151.611 -150.524 -149.683 -148.846 -148.014 -147.185 -146.358 -145.533 -144.709 -141.915 -139.118 -136.318 -133.515 -130.705 -127.740 -124.306 -120.857 -117.394 -113.918 -110.412 -105.790 -101.157 -96.511 -91.846 -87.164 -82.468 -77.756 -72.695 -66.918 -61.110 -56.244 -53.220 -50.213 -47.198 -44.157 -41.083 -37.975 -34.835 -31.661 -35.861 -32.898 -29.774 -26.259 -22.152 -17.919 -14.977 -14.977
-2999.985 -2999.969 -2999.939 -2999.876 -2999.718 -2999.391 -2998.854 -2998.127 -2995.147 -2969.842 -2944.491 -2919.107 -2888.145 -2857.106 -2826.064 -2795.032 -2764.021 -2705.687 -2630.215 -2558.744 -2487.379 -2416.121 -2354.288 -2325.597 -2296.928 -2185.900 -2021.752 -1857.719 -1656.159 -1445.030 -1233.843 -1022.717 -904.777 -807.752 -731.436 -655.433 -579.702 -504.221 -431.590 -394.331 -363.269 -327.516 -291.750 -256.353 -223.028 -212.770 -205.203 -197.662 -190.143 -182.676 -176.343 -178.911 -181.441 -182.067 -182.645 -183.230 -183.820 -182.832 -180.702 -178.616 -176.571 -175.045 -173.726 -172.435 -171.226 -170.622 -170.031 -169.452 -168.883 -168.323 -167.772 -167.271 -166.781 -165.819 -164.136 -162.475 -160.835 -159.216 -157.616 -156.033 -154.466 -152.916 -151.383 -150.174 -149.279 -148.392 -147.510 -146.633 -145.796 -144.967 -144.139 -143.312 -142.486 -141.661 -139.501 -136.416 -133.010 -129.592 -126.159 -122.711 -119.247 -115.766 -112.268 -108.756 -105.234 -100.863 -96.191 -91.508 -86.319 -80.605 -74.868 -69.105 -63.314 -57.511 -51.707 -46.339 -43.312 -40.263 -37.183 -34.065 -38.955 -35.500 -32.566 -30.298 -28.097 -25.042 -20.964 -16.745 -13.919 -13.919
-2999.947 -2999.887 -2999.772 -2999.667 -2999.466 -2999.105 -2998.537 -2997.767 -2988.833 -2963.479 -2937.076 -2907.718 -2878.320 -2846.979 -2814.749 -2782.506 -2750.273 -2715.842 -2667.323 -2597.030 -2526.839 -2456.744 -2386.730 -2316.106 -2170.572 -2007.034 -1843.592 -1680.226 -1516.884 -1326.504 -1129.438 -1022.534 -915.912 -809.712 -706.634 -630.777 -555.205 -486.678 -430.463 -374.488 -331.704 -300.877 -270.300 -240.065 -225.652 -227.348 -221.018 -212.778 -204.569 -196.415 -188.346 -179.945 -177.566 -177.408 -177.272 -177.843 -178.421 -179.003 -179.401 -177.484 -176.109 -174.762 -173.441 -172.148 -170.883 -169.646 -168.651 -168.073 -167.505 -166.979 -166.474 -165.977 -165.486 -165.000 -164.521 -163.562 -161.924 -160.308 -158.709 -157.127 -155.562 -154.014 -152.481 -150.964 -149.461 -148.148 -147.265 -146.386 -145.511 -144.635 -143.758 -142.880 -142.003 -140.268 -138.156 -136.039 -133.454 -130.118 -126.770 -123.409 -120.033 -116.636 -113.213 -109.768 -106.309 -102.850 -96.938 -90.797 -85.707 -80.603 -75.493 -70.376 -65.249 -59.726 -53.936 -48.121 -42.272 -36.388 -40.777 -36.527 -32.184 -28.439 -25.890 -24.458 -23.173 -21.012 -17.895 -14.648 -12.506 -12.506
-2999.862 -2999.703 -2999.317 -2999.137 -2998.862 -2998.448 -2997.852 -2997.062 -2980.577 -2955.017 -2925.699 -2896.322 -2866.881 -2837.363 -2806.422 -2773.993 -2738.298 -2701.998 -2665.740 -2623.942 -2553.606 -2483.361 -2406.904 -2281.972 -2157.109 -1987.309 -1806.169 -1625.139 -1444.166 -1269.538 -1128.436 -1024.418 -920.803 -817.660 -714.318 -609.274 -541.459 -485.121 -429.013 -373.148 -317.552 -269.858 -239.350 -231.467 -232.917 -234.573 -236.283 -232.487 -224.277 -216.116 -207.151 -197.670 -188.339 -182.849 -182.679 -182.528 -182.401 -182.295 -179.837 -176.468 -174.290 -173.084 -171.902 -170.745 -169.613 -168.508 -167.428 -166.936 -166.649 -166.026 -165.411 -164.805 -164.213 -163.727 -163.247 -162.774 -162.308 -161.372 -159.778 -158.200 -156.636 -155.087 -153.554 -152.035 -150.531 -149.039 -147.559 -146.139 -145.260 -144.379 -143.492 -141.508 -139.388 -137.266 -135.139 -133.005 -130.867 -128.727 -126.439 -123.090 -119.730 -116.350 -112.939 -109.497 -103.044 -95.863 -88.671 -81.450 -74.188 -67.537 -62.410 -57.299 -52.189 -47.058 -41.891 -36.679 -43.600 -37.998 -32.354 -27.259 -23.067 -20.008 -18.232 -17.450 -16.801 -15.556 -13.753 -11.962 -10.834 -10.834
